x,y
399.1926,0.3212939
401.1211,0.3097347
403.0496,0.3112238
404.978,0.3185543
406.9065,0.3244652
408.835,0.3127336
410.7634,0.3116769
412.6919,0.3139347
414.6204,0.3144057
416.5488,0.3225602
418.4773,0.3319299
420.4058,0.3355435
422.3342,0.3350419
424.2627,0.3392226
426.1912,0.3442599
428.1196,0.3524396
430.0481,0.3627225
431.9766,0.3727133
433.905,0.3707452
435.8335,0.3670955
437.762,0.3688292
439.6904,0.373629
441.6189,0.3759196
443.5474,0.3755055
445.4758,0.3732392
447.4043,0.3674593
449.3328,0.3570595
451.2612,0.3440982
453.1897,0.3316442
455.1182,0.313278
457.0466,0.2922464
458.9751,0.2763581
460.9036,0.264988
462.832,0.2560326
464.7605,0.2536712
466.689,0.261014
468.6174,0.271319
470.5459,0.2780412
472.4744,0.2812999
474.4028,0.2825243
476.3313,0.2822542
478.2598,0.278318
480.1882,0.270952
482.1167,0.2603833
484.0452,0.2484335
485.9736,0.2356544
487.9021,0.2223798
489.8306,0.2080502
491.759,0.1950661
493.6875,0.1833962
495.616,0.173432
497.5444,0.1628086
499.4729,0.1521478
501.4014,0.1437889
503.3298,0.1358001
505.2583,0.128986
507.1868,0.1240027
509.1152,0.1209343
511.0437,0.1198471
512.9722,0.1199758
514.9006,0.1205068
516.8291,0.1216558
518.7576,0.1231253
520.686,0.1254459
522.6145,0.1285124
524.543,0.1319457
526.4714,0.1349444
528.3999,0.1382688
530.3284,0.1424527
532.2568,0.1460694
534.1853,0.1488607
536.1138,0.1504729
538.0422,0.1519765
539.9707,0.1532914
541.8992,0.1527086
543.8276,0.1528989
545.7561,0.1529611
547.6846,0.1514955
549.613,0.1491617
551.5415,0.1471342
553.47,0.1459284
555.3984,0.1449083
557.3269,0.1444194
559.2554,0.1462425
561.1838,0.1483521
563.1123,0.1488985
565.0408,0.1501244
566.9692,0.1537237
568.8977,0.1589091
570.8262,0.1659051
572.7546,0.1730921
574.6831,0.1807109
576.6116,0.1900145
578.54,0.1995586
580.4685,0.2088629
582.397,0.2183513
584.3254,0.2279227
586.2539,0.2378307
588.1824,0.2471445
590.1108,0.25631
592.0393,0.2652823
593.9678,0.2724017
595.8962,0.2789555
597.8247,0.285024
599.7532,0.2906084
601.6816,0.2959046
603.6101,0.3003447
605.5386,0.3053785
607.467,0.309377
609.3955,0.3137627
611.324,0.3179544
613.2524,0.3215657
615.1809,0.3245875
617.1094,0.3275329
619.0378,0.3302002
620.9663,0.3328786
622.8948,0.3342239
624.8232,0.3350675
626.7517,0.3349223
628.6802,0.3334159
630.6086,0.3309356
632.5371,0.3276032
634.4656,0.3230872
636.394,0.3175194
638.3225,0.3113343
640.251,0.3049594
642.1794,0.2980637
644.1079,0.290372
646.0364,0.2816674
647.9648,0.2736939
649.8933,0.2658776
651.8218,0.2583852
653.7502,0.2518391
655.6787,0.2449954
657.6072,0.2374815
659.5356,0.2319745
661.4641,0.2270288
663.3926,0.220862
665.321,0.2143768
667.2495,0.2084454
669.178,0.2034129
671.1064,0.1981811
673.0349,0.1922523
674.9634,0.1872186
676.8918,0.1834781
678.8203,0.1800999
680.7488,0.1773361
682.6772,0.1746305
684.6057,0.1711014
686.5342,0.1670392
688.4626,0.1646366
690.3911,0.1650691
692.3196,0.1689497
694.248,0.176918
696.1765,0.1887794
698.105,0.2045393
700.0334,0.2233213
701.9619,0.2441124
703.8904,0.2641495
705.8188,0.282428
707.7473,0.2969217
709.6758,0.3054807
711.6042,0.3079222
713.5327,0.3045097
715.4612,0.2956674
717.3896,0.282435
719.3181,0.2660985
721.2466,0.2480473
723.175,0.2304658
725.1035,0.214446
727.032,0.199487
728.9604,0.1857235
730.8889,0.1734373
732.8174,0.162107
734.7458,0.1517878
736.6743,0.1426588
738.6028,0.1345336
740.5313,0.1271545
742.4597,0.1203925
744.3882,0.113789
746.3167,0.1077203
748.2451,0.1019385
750.1736,0.096148983
752.1021,0.090828739
754.0305,0.085759982
755.959,0.080939591
757.8875,0.076012321
759.8159,0.071193948
761.7444,0.066509157
763.6729,0.061648149
765.6013,0.05706156
767.5298,0.052815471
769.4583,0.048636071
771.3867,0.044794992
773.3152,0.04140655
775.2437,0.038725618
777.1721,0.036898009
779.1006,0.03500272
781.0291,0.033341691
782.9575,0.031976409
784.886,0.03102228
786.8145,0.030383641
788.7429,0.029736711
790.6714,0.029129339
792.5999,0.02895963
794.5283,0.028637961
796.4568,0.027750639
798.3853,0.02719768
800.3137,0.02684815
802.2422,0.0262638
804.1707,0.025583381
806.0991,0.025074109
808.0276,0.02492664
809.9561,0.0247571
811.8845,0.02440346
813.813,0.02421288
815.7415,0.02431692
817.6699,0.024414981
819.5984,0.02440737
821.5269,0.024737719
823.4553,0.025033761
825.3838,0.025280541
827.3123,0.025752271
829.2407,0.026281729
831.1692,0.026499789
833.0977,0.02696404
835.0261,0.027855489
836.9546,0.028671451
838.8831,0.029816439
840.8115,0.03099495
842.74,0.032031111
844.6685,0.033553209
846.5969,0.035681311
848.5254,0.037376851
850.4539,0.039262719
852.3823,0.042114891
854.3108,0.04521098
856.2393,0.048450612
858.1677,0.052887991
860.0962,0.058318641
862.0247,0.064418323
863.9531,0.071459673
865.8816,0.079746246
867.8101,0.089579031
869.7385,0.1011198
871.667,0.1145842
873.5955,0.1298458
875.5239,0.1466058
877.4524,0.1644526
879.3809,0.182813
881.3093,0.2009385
883.2378,0.2177657
885.1663,0.2320955
887.0947,0.2429924
889.0232,0.2503065
890.9517,0.2527972
892.8801,0.2498742
894.8085,0.2431592
896.737,0.2330826
898.6655,0.2195765
900.5939,0.2041597
902.5224,0.188371
904.4509,0.1726988
906.3793,0.1578564
908.3078,0.1438935
910.2363,0.1308782
912.1647,0.1186053
914.0932,0.1075779
916.0217,0.097633071
917.9501,0.088442966
919.8786,0.080177851
921.8071,0.073053487
923.7355,0.066985093
925.664,0.06138739
927.5925,0.05683421
929.5209,0.05293997
931.4494,0.04973796
933.3779,0.047418069
935.3063,0.045300469
937.2348,0.043489039
939.1633,0.04194149
941.0917,0.04104396
943.0202,0.040749948
944.9487,0.04052791
946.8771,0.040585581
948.8056,0.040918071
950.7341,0.041137051
952.6625,0.041476421
954.591,0.041904621
956.5195,0.042613819
958.4479,0.044165149
960.3764,0.04624911
962.3049,0.04898056
964.2333,0.0522471
966.1618,0.056586999
968.0903,0.062278211
970.0187,0.069115162
971.9472,0.077485882
973.8757,0.088505194
975.8041,0.1024021
977.7326,0.1197433
979.6611,0.1411909
981.5895,0.1661091
983.518,0.192379
985.4465,0.2185206
987.3749,0.2429839
989.3034,0.2632025
991.2319,0.2767074
993.1603,0.2818542
995.0888,0.2775774
997.0173,0.2633949
998.9457,0.2418265
1000.874,0.2167858
1002.803,0.1916159
1004.731,0.1677757
1006.66,0.145716
1008.588,0.1258838
1010.517,0.1090462
1012.445,0.094663553
1014.373,0.082371742
1016.302,0.0725988
1018.23,0.065124393
1020.159,0.0593969
1022.087,0.055144008
1024.016,0.052390411
1025.944,0.05097555
1027.873,0.050132789
1029.801,0.049436562
1031.73,0.048890982
1033.658,0.04943379
1035.587,0.051646739
1037.515,0.0555159
1039.444,0.061156109
1041.372,0.069012709
1043.301,0.079373777
1045.229,0.092382252
1047.157,0.1078374
1049.086,0.1246539
1051.014,0.141757
1052.943,0.1569361
1054.871,0.169119
1056.8,0.177443
1058.728,0.1809824
1060.657,0.1791687
1062.585,0.1723666
1064.514,0.1610835
1066.442,0.1465129
1068.371,0.1307463
1070.299,0.1156145
1072.228,0.101965
1074.156,0.090982378
1076.084,0.082473166
1078.013,0.076240093
1079.941,0.071661606
1081.87,0.067315713
1083.798,0.063813277
1085.727,0.060875811
1087.655,0.05866858
1089.584,0.057383768
1091.512,0.05657161
1093.441,0.056200858
1095.369,0.056365881
1097.298,0.05711101
1099.226,0.058192998
1101.155,0.059370589
1103.083,0.06093118
1105.011,0.062835597
1106.94,0.065409727
1108.868,0.069139458
1110.797,0.074216373
1112.725,0.080264948
1114.654,0.087513067
1116.582,0.096743077
1118.511,0.107616
1120.439,0.1196518
1122.368,0.131567
1124.296,0.1417514
1126.225,0.1498773
1128.153,0.1556256
1130.082,0.1585452
1132.01,0.1593644
1133.938,0.1581245
1135.867,0.1548332
1137.795,0.1493724
1139.724,0.1413432
1141.652,0.1310569
1143.581,0.1199152
1145.509,0.1091868
1147.438,0.1001075
1149.366,0.092721671
1151.295,0.086703204
1153.223,0.08290296
1155.152,0.081280962
1157.08,0.081980407
1159.009,0.086135373
1160.937,0.094585717
1162.865,0.1079528
1164.794,0.1266437
1166.722,0.1486328
1168.651,0.1701333
1170.579,0.187461
1172.508,0.1970851
1174.436,0.1966908
1176.365,0.1859193
1178.293,0.1666619
1180.222,0.1434225
1182.15,0.1210579
1184.079,0.1015471
1186.007,0.085389689
1187.936,0.07169506
1189.864,0.0604125
1191.792,0.051585011
1193.721,0.044537868
1195.649,0.038830768
1197.578,0.034366481
1199.506,0.03097721
1201.435,0.02799101
1203.363,0.02542628
1205.292,0.023357609
1207.22,0.021923199
1209.149,0.020642839
1211.077,0.01961663
1213.006,0.018861171
1214.934,0.01798071
1216.863,0.017217981
1218.791,0.01658869
1220.719,0.016112929
1222.648,0.0159113
1224.576,0.01571163
1226.505,0.01542626
1228.433,0.01512049
1230.362,0.01476063
1232.29,0.01444367
1234.219,0.01422878
1236.147,0.01387807
1238.076,0.01348153
1240.004,0.01291135
1241.933,0.01251424
1243.861,0.01210038
1245.79,0.01156694
1247.718,0.01113978
1249.646,0.01071745
1251.575,0.01026888
1253.503,0.0098079396
1255.432,0.0091539947
1257.36,0.0086891837
1259.289,0.0084562963
1261.217,0.0082147047
1263.146,0.0078923693
1265.074,0.0076099732
1267.003,0.0072962078
1268.931,0.0070701768
1270.86,0.00711965
1272.788,0.0071322909
1274.717,0.006860361
1276.645,0.0063627348
1278.573,0.0060453429
1280.502,0.0059926142
1282.43,0.0060626338
1284.359,0.0059352159
1286.287,0.0055877469
1288.216,0.005160681
1290.144,0.0050979569
1292.073,0.0051614852
1294.001,0.0051136301
1295.93,0.0049368609
1297.858,0.0046274331
1299.787,0.0042988849
1301.715,0.0042277779
1303.644,0.004204493
1305.572,0.0040254779
1307.5,0.0038855399
1309.429,0.0039523449
1311.357,0.0041516768
1313.286,0.0041033882
1315.214,0.003881084
1317.143,0.003852064
1319.071,0.0037230309
1321.0,0.0035597661
1322.928,0.003597823
1324.857,0.0036035101
1326.785,0.003488661
1328.714,0.0031739371
1330.642,0.0032753299
1332.571,0.003558204
1334.499,0.0033996969
1336.427,0.003121973
1338.356,0.00316986
1340.284,0.003356413
1342.213,0.003411341
1344.141,0.0035038751
1346.07,0.0031698779
1347.998,0.0032790189
1349.927,0.0034965931
1351.855,0.0036568861
1353.784,0.0035710691
1355.712,0.0033515401
1357.641,0.0035073869
1359.569,0.003526418
1361.498,0.003447423
1363.426,0.0035891871
1365.354,0.003675194
1367.283,0.00335208
1369.211,0.003376381
1371.14,0.003452417
1373.068,0.00351658
1374.997,0.003815307
1376.925,0.0038135869
1378.854,0.0035224359
1380.782,0.003350392
1382.711,0.003375113
1384.639,0.003393339
1386.568,0.0034927879
1388.496,0.0036019101
1390.424,0.003391579
1392.353,0.003335881
1394.281,0.003608692
1396.21,0.003472222
1398.138,0.003326731
1400.067,0.0032079101
1401.995,0.0031061431
1403.924,0.0031453441
1405.852,0.003305462
1407.781,0.003440341
1409.709,0.003446464
1411.638,0.003366282
1413.566,0.0031804109
1415.495,0.0030414469
1417.423,0.0030937809
1419.351,0.00331791
1421.28,0.003242739
1423.208,0.0030082159
1425.137,0.0029367551
1427.065,0.002902627
1428.994,0.002958785
1430.922,0.003024616
1432.851,0.0029384829
1434.779,0.0029667511
1436.708,0.003082769
1438.636,0.0030678899
1440.565,0.002854127
1442.493,0.0028603489
1444.422,0.003087875
1446.35,0.0032916521
1448.278,0.0032672901
1450.207,0.003019074
1452.135,0.003302254
1454.064,0.003357108
1455.992,0.0035439469
1457.921,0.003612865
1459.849,0.003363268
1461.778,0.003333238
1463.706,0.003424179
1465.635,0.003322457
1467.563,0.003003564
1469.492,0.0030073151
1471.42,0.003113647
1473.349,0.003383572
1475.277,0.003181248
1477.205,0.002704072
1479.134,0.002588951
1481.062,0.002610065
1482.991,0.002598712
1484.919,0.002553236
1486.848,0.00273132
1488.776,0.00281621
1490.705,0.0028486319
1492.633,0.0026781789
1494.562,0.002592735
1496.49,0.002847685
1498.419,0.0030346401
1500.347,0.0031438379
1502.276,0.003108066
1504.204,0.003116864
1506.132,0.0034410011
1508.061,0.0034453559
1509.989,0.002998461
1511.918,0.002801422
1513.846,0.002844187
1515.775,0.0028910909
1517.703,0.002717203
1519.632,0.002624701
1521.56,0.002981985
1523.489,0.0029618819
1525.417,0.0028752161
1527.346,0.002871786
1529.274,0.0029017229
1531.203,0.0029315751
1533.131,0.0029257759
1535.059,0.002964145
1536.988,0.003290982
1538.916,0.003360603
1540.845,0.0032403939
1542.773,0.0032340221
1544.702,0.00335981
1546.63,0.0031717711
1548.559,0.003319883
1550.487,0.003638661
1552.416,0.00374911
1554.344,0.0038405191
1556.273,0.003418769
1558.201,0.0035765171
1560.13,0.003832147
1562.058,0.0035654409
1563.986,0.0032170999
1565.915,0.003105033
1567.843,0.0034856971
1569.772,0.0037657639
1571.7,0.0038800519
1573.629,0.003885651
1575.557,0.0041532898
1577.486,0.0039226678
1579.414,0.0040133661
1581.343,0.0043899282
1583.271,0.0041954219
1585.2,0.0039635082
1587.128,0.0042099822
1589.057,0.004409329
1590.985,0.0040993472
1592.913,0.003691901
1594.842,0.003801622
1596.77,0.0043173269
1598.699,0.004435658
1600.627,0.0044816281
1602.556,0.0045313318
1604.484,0.0043714051
1606.413,0.0041759922
1608.341,0.0043424461
1610.27,0.0042962749
1612.198,0.004362911
1614.127,0.0047989581
1616.055,0.0048777489
1617.984,0.0047819251
1619.912,0.0048589609
1621.84,0.0051066079
1623.769,0.004917989
1625.697,0.0048807082
1627.626,0.005130908
1629.554,0.0049999449
1631.483,0.0049038469
1633.411,0.004956895
1635.34,0.0052781501
1637.268,0.0052884738
1639.197,0.0050235139
1641.125,0.0052203499
1643.054,0.005225936
1644.982,0.00519446
1646.911,0.0052651949
1648.839,0.005405331
1650.767,0.0053672902
1652.696,0.0055627702
1654.624,0.0052501471
1656.553,0.0045527578
1658.481,0.004512215
1660.41,0.0050432589
1662.338,0.0048575052
1664.267,0.0041949232
1666.195,0.004165079
1668.124,0.0047047688
1670.052,0.0050349329
1671.981,0.004817863
1673.909,0.0047419649
1675.838,0.004492891
1677.766,0.0039881649
1679.694,0.0037047211
1681.623,0.0040608109
1683.551,0.0044933101
1685.48,0.004211938
1687.408,0.003806425
1689.337,0.0041749082
1691.265,0.0043599862
1693.194,0.004269416
1695.122,0.0044160909
1697.051,0.0042594601
1698.979,0.004410679
1700.908,0.004457755
1702.836,0.0039751451
1704.765,0.0042630271
1706.693,0.0046977298
1708.621,0.0044509182
1710.55,0.0041559138
1712.478,0.0044065672
1714.407,0.0044576451
1716.335,0.0045401831
1718.264,0.0043440838
1720.192,0.003711439
1722.121,0.003437127
1724.049,0.0037732101
1725.978,0.0042801262
1727.906,0.0042080418
1729.835,0.0037187641
1731.763,0.0041168081
1733.692,0.0046882262
1735.62,0.0042493832
1737.548,0.0037205929
1739.477,0.004214196
1741.405,0.004380363
1743.334,0.003989486
1745.262,0.00327496
1747.191,0.0029030731
1749.119,0.003280102
1751.048,0.0037910731
1752.976,0.003363407
1754.905,0.003332532
1756.833,0.0035150631
1758.762,0.0033588801
1760.69,0.0033651411
1762.619,0.003570586
1764.547,0.0030655621
1766.475,0.0025479021
1768.404,0.0027257779
1770.332,0.0029825079
1772.261,0.0026782739
1774.189,0.0026629609
1776.118,0.0028381341
1778.046,0.0030994839
1779.975,0.0031845081
1781.903,0.0024887661
1783.832,0.002465962
1785.76,0.002793028
1787.689,0.0027627549
1789.617,0.002972675
1791.546,0.0032386479
1793.474,0.0030639721
1795.402,0.0034226419
1797.331,0.003832506
1799.259,0.0041099172
1801.188,0.0040312931
1803.116,0.003348541
1805.045,0.0030786351
1806.973,0.0033066401
1808.902,0.0034094879
1810.83,0.003764644
1812.759,0.0034062611
1814.687,0.002667635
1816.616,0.002939278
1818.544,0.0035921659
1820.473,0.00358519
1822.401,0.002812522
1824.329,0.00280919
1826.258,0.0036903219
1828.186,0.0039855372
1830.115,0.0039201458
1832.043,0.0039063422
1833.972,0.0037927281
1835.9,0.003727101
1837.829,0.0037000601
1839.757,0.004162224
1841.686,0.003905501
1843.614,0.0038119319
1845.543,0.0040294589
1847.471,0.0040529869
1849.4,0.0041741212
1851.328,0.0035659759
1853.256,0.0032527859
1855.185,0.003343754
1857.113,0.003521001
1859.042,0.003936301
1860.97,0.0039054391
1862.899,0.0036456159
1864.827,0.003980963
1866.756,0.0038620171
1868.684,0.0034045819
1870.613,0.0030784069
1872.541,0.003768699
1874.47,0.003459594
1876.398,0.0033902919
1878.327,0.0039221011
1880.255,0.0040505249
1882.183,0.003923262
1884.112,0.0041163042
1886.04,0.0039390242
1887.969,0.0039694519
1889.897,0.0040728701
1891.826,0.0042561418
1893.754,0.003731085
1895.683,0.0032901061
1897.611,0.0031105301
1899.54,0.0024439041
1901.468,0.002289372
1903.397,0.0028794869
1905.325,0.003351782
1907.254,0.0032423651
1909.182,0.00354761
1911.11,0.003235827
1913.039,0.0027015561
1914.967,0.001724788
1916.896,0.0021139041
1918.824,0.0032813121
